system,dataset,subset,n_queries,top_k,strict_section_acc@1,strict_section_acc@3,strict_section_acc@5,strict_section_acc@10,strict_section_acc@20,relaxed_doc_acc@10,mrr@10,ndcg@10,embedding_model,reranker,latency_p50_ms,latency_p95_ms,code_commit_sha,run_datetime_utc
Linkence,vectara/open_ragbench,diverse_500,500,10,0.682,0.904,0.928,0.966,,0.998,0.7952,,text-embedding-3-small,,387.1,545.5,8208b48c40a3af558ec316eb10cb77905a97a93b,2026-06-14T12:01:21.121677+00:00
Linkence,vectara/open_ragbench,diverse_500,3045,20,0.6177,0.8394,0.8952,0.9461,0.9691,0.997,0.7374,0.7887,text-embedding-3-small,,418.5,606.9,8208b48c40a3af558ec316eb10cb77905a97a93b,2026-06-14T12:45:25.719284+00:00
